email,password,academic_field_id,GPA,work,short_break,long_break
bkochel2x@ustream.tv,aml7UR,10,69.3,20,5,25
mhickisson2y@wunderground.com,Aj3a1zMqkK,2,94.4,33,6,10
gbradneck2z@bloomberg.com,wsmk2V,12,91.4,42,1,23
saird30@domainmarket.com,rxIY4uieNV,1,72,34,1,29
egyurko31@elegantthemes.com,Kw2jUF,4,76.6,44,5,23
ptrattles32@macromedia.com,DEwmu5ymzN,1,97.2,49,7,17
obau33@phoca.cz,9iIf2iGxrJ,8,91.9,20,6,23
cmansfield34@goo.ne.jp,J8j2iRpzpYiz,2,83.4,41,6,27
rpidon35@so-net.ne.jp,Y8ONFONh,9,73.5,36,2,22
rarmal36@list-manage.com,PS7A5ow,5,86.2,32,4,21
sdawidsohn37@apple.com,dllizmR,2,91.6,37,4,11
ajosland38@infoseek.co.jp,gxLGNEqVKNr,11,78.3,38,7,10
ktilne39@auda.org.au,23QK5EV,2,92,30,5,24
lreach3a@whitehouse.gov,yzukBIh,11,79.6,37,3,29
bcrassweller3b@alibaba.com,SUw0c4B3pY,1,79.8,38,2,15
ndorricott3c@clickbank.net,pjAaosN,11,86.8,30,2,28
steligin3d@bigcartel.com,zK6HVtiBhiMZ,8,92.5,21,4,14
cpryke3e@earthlink.net,3P5643IWM,3,87.8,39,7,10
gnabbs3f@oracle.com,ctnVjI,12,73.5,35,5,22
otooting3g@google.pl,Hz0FSEil79w,5,76.3,37,7,15
pcassells3h@yellowbook.com,PsvWbS,10,89.1,49,6,11
rtolland3i@google.de,S6CiSrJCmQ,7,85.9,30,2,21
gdavitashvili3j@netscape.com,9oT30czUKM,1,94.2,44,1,26
mredwall3k@si.edu,rTBraF,3,70,23,5,25
bmatusevich3l@foxnews.com,suz6um,5,91.1,26,2,22
qleftly3m@jalbum.net,7v8BBK1,6,84.7,36,6,25
bkeyson3n@hostgator.com,eMqI0n6vcHE,7,81.1,26,7,24
atorra3o@youtube.com,XXfT8KKh,2,79.5,35,4,20
bpieche3p@t-online.de,CDq5zl,10,69,22,7,26
gcannings3q@yahoo.co.jp,paTKE5Iw5,5,94.1,21,4,18
hmorritt3r@furl.net,qE5Y9CagFM,1,91.4,20,3,10
dlutz3s@nba.com,187EUWa8Yw,5,84.6,33,3,25
mvicarey3t@globo.com,ZI0h05K,10,78,22,5,26
kpaye3u@homestead.com,0Mh0vR,11,85.8,20,3,16
ckopf3v@scribd.com,oaq8Dq,10,73.5,36,2,25
rgleaves3w@over-blog.com,FCM58XD3bJ2K,11,95,28,2,25
apachta3x@amazon.com,zrfNozqkVy8I,11,92.6,40,5,13
cjouanny3y@nymag.com,xzIoYKMJMf,6,96.1,31,4,12
cfostersmith3z@weebly.com,jloq0V7NVx,2,99.5,45,1,26
prealph40@tinypic.com,hVNFcX,9,76.1,48,2,19
delleyne41@shutterfly.com,0bqjD9k8htJ,1,95.1,48,3,28
gcrosseland42@jugem.jp,5LV23kX,2,89.6,22,5,28
carundell43@angelfire.com,Km3em5,5,71.9,45,4,24
ksyder44@tiny.cc,vmKPupQ,4,84.8,48,5,15
vbenko45@aol.com,hnIV8fCH3xH,1,76.8,35,2,10
icancellario46@digg.com,oj54w8qip,11,78.1,34,6,18
mstitcher47@hc360.com,dmY9CIj2ST,1,72.2,44,1,14
tdanielski48@networkadvertising.org,GFQhZCD3fJL,12,87.3,20,6,27
cmcbryde49@linkedin.com,7w7rRbjQOb,4,71.3,29,4,22
swareing4a@clickbank.net,NQ428Xjw,8,68.4,36,2,29
jstoakes4b@yale.edu,478Q13YNtYy,9,82.5,47,2,27
rmawer4c@who.int,0G3iQO,6,98.4,35,4,21
jorto4d@msn.com,IauE0ov,9,92.9,26,4,11
lbrognot4e@pen.io,KHFlOpK2o,3,92.6,27,2,27
lstathers4f@about.com,qJe7lvYazy,6,69.2,47,4,12
bjurek4g@yelp.com,8RtK3uVY79,11,99.9,38,4,21
gdewfall4h@arstechnica.com,oXXPH21,11,78.5,23,3,23
ssehorsch4i@msu.edu,8UjxMVtPLyJd,12,71.8,33,7,23
econnold4j@wired.com,92PKYwTj5,11,81.7,45,6,10
selston4k@shinystat.com,psJfmy8hdLm,8,77.6,20,5,12
kmcgreay4l@csmonitor.com,0eUgBK5qvG,4,91.8,34,7,12
jpresdee4m@chicagotribune.com,wda2LzDNCSmh,7,85.3,49,6,16
tjurisic4n@cdc.gov,FRBmkfzl,2,91.4,45,3,22
hmounch4o@hud.gov,VMSUYsWDHKuZ,12,99,47,2,27
pmerrisson4p@wikia.com,aFscXQz756Pd,8,72.4,35,6,24
lthirtle4q@wisc.edu,HVTIFvQgj1Q5,12,91.4,45,7,17
afelix4r@go.com,gQ5Qizm,6,78.3,21,2,20
gtellesson4s@bbb.org,oxvUIHxIcqXb,8,97.6,48,3,23
bdoelle4t@xrea.com,qZmygyB8pA,8,89.5,39,7,23
ghealeas4u@gnu.org,dm8ZMJd,10,88.1,37,5,12
rpavlitschek4v@g.co,APb4MOQP,2,83,22,3,28
bgarrard4w@drupal.org,tpwxYMhWu,11,88.2,45,3,10
nsuttaby4x@whitehouse.gov,K4ecUI,12,93.7,38,4,22
cmccomb4y@mediafire.com,2JQOnDvbvPNQ,2,79.7,39,5,27
tswatridge4z@mediafire.com,sgyhQk1zqHvU,8,97.6,49,2,18
emateuszczyk50@house.gov,18CkNfakpaKX,11,81.6,43,2,17
neate51@live.com,eP597qeY,10,96.1,32,2,27
kleheude52@guardian.co.uk,GZidf5mbFM,8,69.9,49,4,17
lhenaughan53@baidu.com,q4tymoNShXT,3,96.9,34,6,25
zvlies54@jigsy.com,L8BNwi6ddBw,11,81.8,34,2,21
nnorman55@uol.com.br,DJG8vL8FGNVh,6,96.7,24,4,27
sblasiak56@geocities.com,noECiitlhYHL,5,79.5,34,4,16
hbutters57@kickstarter.com,PhW1koXIpqHi,11,75.7,48,2,17
rbelson58@constantcontact.com,RzQsc3Pd4,7,69.6,48,6,16
nwiddowson59@dyndns.org,eYBCxKwcWWxK,4,81.9,31,3,28
fmulder5a@hugedomains.com,AIcsbodtIokj,1,87.3,43,6,25
mporcher5b@cam.ac.uk,pDS0R3G78,11,69.7,28,7,19
jgoldenofireland5c@boston.com,Nl6pTq99,9,99.9,31,5,24
bandriulis5d@blinklist.com,JaeDZGaZzxBp,11,75.6,41,4,26
gmoreno5e@freewebs.com,h87T4lb,12,79.1,46,5,24
lmcmickan5f@constantcontact.com,AbEgI3,9,90.4,42,1,10
srosedale5g@nyu.edu,q6h7hMCHiX,10,77.3,36,6,23
hsimm5h@yellowbook.com,NEPPZsCun,10,68.3,40,3,24
umcwhirter5i@utexas.edu,FK6KSY1T3w8,4,99.1,27,2,10
hbiernacki5j@furl.net,6lhzGvCs99,3,76.2,20,5,15
mgeaney5k@flickr.com,uiRI4q4ivUU,11,79.4,29,6,17
nsymcox5l@latimes.com,Dirx59ZE,2,97.2,34,7,25
agoodall5m@github.com,PPN29Is,12,99,24,3,23
mbiggins5n@msn.com,Pzob3AnoHwTq,7,85.4,46,7,16
gdumberell5o@storify.com,zZDKqBd,8,84.2,35,6,12
aconachy5p@myspace.com,ZEr64qAY,1,99.4,38,3,14
ccunningham5q@weebly.com,xpBSAKNmI,9,71.1,26,5,10
tbortolini5r@ed.gov,AKM3uezRrO,12,94.2,49,6,13
mfearnehough5s@uiuc.edu,EqL7wyXZ,3,85.8,29,2,15
mgullen5t@indiatimes.com,D9rkHnLaCy,11,91.1,44,2,25
vplace5u@fotki.com,tt6mUBHQvP,3,75.3,28,1,19
rcraine5v@rakuten.co.jp,gaskZqh,1,99.1,31,1,29
sserjent5w@aol.com,jGF4kuRD,4,82.9,37,1,29
smitrikhin5x@engadget.com,yVx3H9kYNPiN,4,93.6,43,1,16
ibertlin5y@facebook.com,LgbF7CPvlghm,3,67.5,50,3,17
bpicknett5z@wix.com,Lguz1R,1,90,22,2,27
cbarock60@mlb.com,fvLpiiv,11,74,30,1,27
hbaxter61@moonfruit.com,idplESfchfgD,12,69.6,50,4,25
mdugue62@senate.gov,V3lWluCH,7,73,43,3,14
eshaughnessy63@seesaa.net,bGSuGMAB7qJ,7,69.4,31,5,17
llillo64@indiegogo.com,6wyhGUj,6,74.6,28,1,11
neveriss65@vinaora.com,NE1tv7nLfxE,9,99.1,45,2,23
lrosenfelt66@linkedin.com,cKeYUR,7,80.9,42,2,18
areggiani67@storify.com,pjllRGA0,12,89.6,26,5,21
dlaidlaw68@hostgator.com,NVjXk9ttgF,10,87.5,30,1,27
jsawkin69@theglobeandmail.com,hmj8OiCmZQw,5,85.1,26,7,15
dkittow6a@phoca.cz,coLckAK,3,92,22,5,30
mweaver6b@blinklist.com,LSv3c8f9B9,11,68.7,45,4,12
eseiler6c@is.gd,aUfmqhrH,12,91.9,44,4,19
mjeffress6d@redcross.org,x3iPyJbghsj,4,95.1,34,6,20
rmaccafferky6e@skype.com,vdvy1S7,10,79.6,35,6,24
vstudart6f@dmoz.org,CzZ887HG,12,71.9,30,7,21
mburdytt6g@auda.org.au,zGmkAgde,9,93.6,31,4,21
sschall6h@cbslocal.com,MdFgjLOhFv,7,82.7,25,5,21
csergeaunt6i@alibaba.com,ZLmZEihg5i,12,69.4,25,4,15
wmckendo6j@sakura.ne.jp,X0W69K0r,10,80.2,34,4,15
klinay6k@examiner.com,O3y2ebYEqmy,3,80.3,24,2,24
agoldsberry6l@g.co,JGGBzvJQ4CW0,5,80.2,22,5,17
aguilaem6m@vimeo.com,b3mnac6,2,70.6,30,1,28
gwesley6n@go.com,YqUh5r196kW,12,88.4,38,6,19
skeese6o@buzzfeed.com,rKy4vK2,3,97.3,46,3,22
rudale6p@phoca.cz,4UYZEk1hzDhk,4,95,22,2,29
lclements6q@rambler.ru,wYWnXCfqTlI,2,80.8,50,4,17
khyam6r@illinois.edu,xnt1DK,10,74.9,20,1,10
adelany6s@reference.com,Su7EoAzDQssS,4,90.6,43,5,21
lolsen6t@hc360.com,vJAFeHc,5,71.1,32,5,26
celiasen6u@purevolume.com,786nPEigK,4,87,21,3,24
mralls6v@ihg.com,5lOUQsKChmxl,4,85,40,4,12
sabrahamoff6w@hostgator.com,aUw26HcLavW,6,93,47,4,24
gdouty6x@hatena.ne.jp,g0YDKta,2,85.9,47,7,23
slouis6y@multiply.com,bAFe3WliDuP,3,70,23,7,19
bslowgrove6z@google.cn,dtZvCad3,11,78,39,3,21
myitzovitz70@chron.com,WDL3SUqz3nk,7,68.5,50,6,19
mfulloway71@exblog.jp,tOUfZz,8,99,39,2,29
vfreyne72@youtube.com,5rH0ty,11,86.3,23,6,26
stabourin73@independent.co.uk,CUbY80P,6,84.5,27,7,15
bspelsbury74@mtv.com,cdR95agr6,3,77.3,49,6,26
ahattam75@w3.org,ts12fwS,9,86.4,43,6,20
lmcclinton76@bing.com,BqcTBk12xr,4,99.9,26,2,24
acopper77@t.co,dYrDYd2CBxKy,8,95.9,48,7,12
gballantyne78@prnewswire.com,F7V1RhXMcf2,1,88,42,1,12
vbraxay79@squarespace.com,EyJkliPKbB,3,72.1,37,7,24
jeke7a@is.gd,suHfJy4Qzs05,4,85.8,30,2,12
cmarchington7b@cbc.ca,x0tlBXg4fv,12,69.2,49,2,10
adurrett7c@forbes.com,P5CQidiIwvWn,10,94.9,27,1,13
opowdrell7d@tinypic.com,w8dFlqGn,4,72.3,25,6,28
cbalding7e@wikimedia.org,v283YZiq,1,93.9,28,5,22
wkondratenko7f@miibeian.gov.cn,jr73RzeMY,12,98.8,34,6,23
dclowton7g@jiathis.com,eWDHRXFj82,10,86.8,25,2,25
dcoulthurst7h@pen.io,fb6JuYnQF,10,83.1,50,4,24
emcdoual7i@storify.com,u7ygM2BWH8bW,2,97.9,22,1,18
bgremain7j@ustream.tv,5NsSXpim,6,79.2,38,5,14
emaultby7k@reference.com,NivbdzwCiM2r,12,93.5,44,5,15
mmcarley7l@bluehost.com,838KwxmuEn7w,12,79.1,27,4,24
aelphey7m@dion.ne.jp,vjXiuPYpgzp,11,99.2,34,6,27
jbence7n@redcross.org,Yffh0KUPSC,4,83.2,23,7,30
dkalaher7o@angelfire.com,SF6KBi,5,95.5,48,1,24
vtillerton7p@blog.com,EQbAzCobrT,12,74.9,39,5,23
sffoulkes7q@google.nl,b5pLqPjUa,5,94.9,23,1,14
fmacaskill7r@tripod.com,7N0mLpj6pwA,4,88,30,2,29
rdanes7s@latimes.com,SHGcVYyMv,10,91.1,36,4,26
cgyorffy7t@bandcamp.com,hi3oNDjCQdn,2,91.5,50,6,16
emclean7u@cdbaby.com,f5gqPKpC42zL,1,88.9,42,3,28
ihyder7v@mtv.com,NBD8zYndV5LU,10,76.1,33,4,24
panselmi7w@marketwatch.com,e3zbYj,10,93.4,30,6,25
dnapoleon7x@godaddy.com,b1W1ntpBRY,2,78.7,41,2,19
rjeger7y@statcounter.com,tcOB6xJ,5,94.7,30,7,11
gree7z@phoca.cz,tCyeTs,5,86.4,38,6,24
ctock80@skyrock.com,XPm0Tm,10,85.9,44,4,18
moshea81@themeforest.net,KPlp46tf,1,86.6,21,4,14
dfrediani82@slate.com,n7y6Rd,4,74.9,23,5,27
twillishire83@ebay.com,KmoX2k,10,98.4,22,7,11
svasichev84@gnu.org,i5OxhidLbRs,10,84.5,23,7,20
mgynn85@ow.ly,JezuWbXtVPh,11,75,49,6,25
swormstone86@mysql.com,usBixwv1UfzU,2,88.5,37,1,21
wkitson87@usnews.com,baiuwH7kMg,4,77.4,43,4,16
ialster88@mail.ru,Mba6D4zoY5D,2,74.6,25,5,13
mgoldsmith89@nifty.com,mBifciIzmF,8,71.8,39,4,15
peefting8a@yale.edu,9TPGbGAm0xLU,7,87.4,38,3,14
oduckerin8b@princeton.edu,SscT3Bre3LYZ,5,71.2,20,6,14
wmccaster8c@dagondesign.com,iKlVzhWpoES,9,83.2,23,6,19
jmackinnon8d@patch.com,xNyZB9FgQ,8,82.2,30,6,24
iableson8e@mediafire.com,xrera7P8SOYM,6,96.1,45,2,28
lperegrine8f@paginegialle.it,96wnjl,9,78,24,7,10
jhelversen8g@google.com.hk,HtSub0QMVQb,4,69.6,44,1,12
lbernardez8h@scribd.com,tRv2Uy,8,86.6,40,1,17
cgreve8i@yolasite.com,xSf45D1,2,99.5,46,5,14
eleivers8j@nydailynews.com,nJuJh4d5PV,3,77.9,24,7,10
wdestoop8k@ed.gov,qFuvP34y4nc,7,89.8,22,2,24
edevey8l@devhub.com,BXykYl6,2,84.5,20,7,26
ckitt8m@umich.edu,ZyO12BP5BP,2,68.6,45,2,12
kliddicoat8n@java.com,e8jnGgh,5,91.9,43,6,18
egroucock8o@dedecms.com,Abrp3nPl,8,69.4,41,5,15
dmacallister8p@miibeian.gov.cn,jUdqEFxllBXo,9,82.6,46,4,15
dseyfart8q@kickstarter.com,EiU8q985,6,83.8,24,3,27
lkliemann8r@sbwire.com,edEg0t,9,71.9,24,6,26
dcamps8s@wiley.com,GeoLUThDd,11,74.5,30,4,29
ccalafate8t@hexun.com,nk80ON7V,3,74.1,45,3,14
morgan8u@who.int,BQrk1vYBpXEH,4,84.6,26,7,13
mhayhow8v@freewebs.com,GCZ32Tbw,10,76.9,21,2,23
ndowden8w@goo.ne.jp,xXuYNDC,12,99.3,28,2,15
ebeddoe8x@google.es,4jpWJ6qeOIq,9,98.4,38,2,13
obalducci8y@scribd.com,GcyN7sO,2,96.6,33,7,16
rcropton8z@addthis.com,IoixEdwtZt,12,97,41,5,30
fgueste90@narod.ru,Rqnsi7oQfO,4,68.3,20,3,15
fblaydes91@bloglovin.com,eyCX1ML,7,90.8,40,1,20
efrancillo92@buzzfeed.com,zraDXfX2EPZG,7,85.7,49,5,13
wbaltrushaitis93@comcast.net,rXXaAVqfp5l,12,76.2,42,2,20
lbartoloma94@shinystat.com,LJsBXHCirx,6,76.3,36,2,23
dsanham95@hatena.ne.jp,DDAlAYrz,6,86.4,30,1,21
rcarnihan96@chicagotribune.com,pUGbDnN,7,85.2,35,3,12
vthurling97@twitter.com,HtwFrHx,10,74.5,34,3,19
jcastelain98@techcrunch.com,mCyInRZlE,12,89,27,1,25
rdevlin99@mit.edu,NbzHils,12,89.9,46,5,13
nhantusch9a@youtube.com,GQsQb7rSnf,12,97.4,45,6,26
afrost9b@gnu.org,mhBPVfUnM,12,84.4,27,6,17
eplayford9c@nasa.gov,K5XSHb8JhdDJ,8,77.6,23,3,14
hwedgbrow9d@hao123.com,m8kUt2YpG2l,9,92.1,50,2,13
sdaly9e@fc2.com,M0kDcBt,5,83,43,2,20
mitzkov9f@icio.us,NTvNXd0fiJ3w,1,93.7,31,1,11
dlarwell9g@bizjournals.com,7P6eo6hrrBa,10,92.2,49,5,21
tkyllford9h@wired.com,QK3FuIvQ,5,95.9,46,7,10
jmayhow9i@tiny.cc,WzP93DZZ7r8,4,71.4,32,4,20
lkochel9j@cisco.com,eqSuFMx,9,76,49,2,18
spaterno9k@thetimes.co.uk,F22RqIkb6,11,68.7,35,2,15
mbestwerthick9l@imageshack.us,K9KmmL,8,98.7,37,6,14
dduker9m@ebay.com,6R5MXmYPxHxX,10,88.7,48,5,15
ddilland9n@hostgator.com,jAuuAiE,12,79.9,47,5,20
kdudson9o@tripod.com,BQUEScRjV3,2,70.4,41,4,17
lstambridge9p@apple.com,MHMPCTAQ,11,81.9,20,4,25
tmoulsdall9q@liveinternet.ru,jemu1hEO,11,73.3,22,6,23
inoakes9r@shinystat.com,Myp6QL6mrgf,3,97.9,41,1,27
kitzkov9s@imgur.com,sUeeuc4k,6,93.5,34,4,25
kelbourn9t@last.fm,la66QJW,5,73.2,37,5,18
asylvaine9u@feedburner.com,yB7aP2,8,88.8,24,4,28
famori9v@booking.com,lkka9pef95,1,89,50,2,16
cblacktin9w@nydailynews.com,tLPoYwF,11,90.8,35,7,29
hkrysiak9x@shutterfly.com,uJEhJKOaq,2,85.1,46,1,20
ademarchi9y@howstuffworks.com,nGP8NKDSUT,7,93.2,32,4,11
mcamilletti9z@geocities.com,LPAKYL,10,88.1,40,4,12
kmitchleya0@ycombinator.com,yxYacDZ8Eh,6,83.8,22,5,11
tambroscha1@ning.com,3z9FMNxl48,7,69.6,27,3,25
cvalancea2@hibu.com,Ri7MB9ZkmYV,12,87.2,33,2,17
fosbana3@github.com,gakXBP7r,3,69.6,27,4,13
lkaleya4@mashable.com,dkEoP6z,5,71.9,29,2,21
clambertsona5@yandex.ru,2qtr6yI,3,96.3,31,6,11
kdowyera6@seesaa.net,yMge4xlQn9,3,84.3,36,4,17
mbranchflowera7@woothemes.com,bnAL91RD,2,68.7,44,7,18
eavrahma8@shareasale.com,RqonFF7TIR,9,75.1,30,2,23
pevisona9@wp.com,Lzr57oVXS,6,74.9,50,5,18
rpolferaa@mayoclinic.com,P6OlkDV,10,92.4,30,7,23
ujuhrukeab@xinhuanet.com,vtbSGuceSd7d,7,84.2,39,4,26
diornsac@geocities.jp,buiy5pLpuD9,10,81.1,33,6,27
pnormavillead@nationalgeographic.com,KoqUIsbb6,1,82.4,33,4,25
gzaniolettiae@comsenz.com,MqIY9QmUI,5,88.1,31,7,17
hbeekmannaf@army.mil,J01gQ1,11,89.9,46,1,10
sdrinanag@yolasite.com,R5XwXrKZdGgr,12,77.3,28,4,12
jferbracheah@xing.com,Phr0mtdLePKH,10,88.5,50,6,11
cbartrapai@cnbc.com,XcT5Jn9,4,71.9,28,5,27
abellamaj@yolasite.com,3fESLX7yW8mE,11,78.1,28,2,26
kgarattyak@auda.org.au,WsBBQMPn8,12,98.9,27,7,17
mferronal@unicef.org,gJI5mYy,2,99.1,37,5,10
ldehoogeam@merriam-webster.com,CqiqVIzc0dr,10,68.4,23,6,20
jbrutyan@skyrock.com,hrFtl1j,10,90.2,31,3,16
cwerrilowao@sohu.com,pdA3rwWKqR,5,81.8,45,6,13
jdudsonap@telegraph.co.uk,fBDSlc,3,94.5,23,7,12
rsimoneauaq@joomla.org,aCZ0ucA4e,1,83.6,42,6,22
jsabbatierar@salon.com,t1D2v5N,11,98.3,44,1,29
vturbatas@scribd.com,CO2mjy,8,94.7,50,1,12
rdaytonat@moonfruit.com,2RNrKYAmfqxt,8,96.3,20,1,26
ipaddieau@boston.com,EPyKtB0,7,84.1,29,7,15
cwickendenav@thetimes.co.uk,17dCyxPp,8,99.1,25,4,30
bscattergoodaw@ft.com,8wzKhMC,10,96.7,31,3,27
dnorsterax@indiatimes.com,41O3rl,7,83.8,28,1,28
